,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Aged care services managers,0.059923938,0.039543657,0.046342394,-0.112706847,0.026751025,0.039982439,-0.178086217,-0.026571527,0.047336596,-0.070664054,0.047014659,0.025032446,0.031550672,-0.029496751,0.01973359,0.005479908,-0.080187623,0.06747498,0.054729363,-0.053062818,0.104404422,0.087404028,0.012963077,0.065035636,-0.093382831,-0.17404131,-0.002960471,-0.143000249,-0.016663463,0.065349623,0.537248929,0.141147339,0.040139007,-0.099231904,0.065049892,0.010254351,0.010392313,0.042027096,0.155634672,-0.053469979,-0.055515015,-0.086467742,0.071198386,0.130931808,0.042599567,-0.020361815,-0.129243164,0.030385831,0.050308236,0.145168384
Social welfare managers,0.012418904,-0.005323138,0.016858106,-0.117783865,0.026016145,0.060051846,-0.106198405,-0.133020817,-0.023732776,-0.067051863,0.002665357,0.033771966,0.001626038,-0.002524236,0.017979333,-0.032774734,0.056437041,0.015229148,0.190698574,-0.076062811,0.054392857,0.003162087,-0.101683987,0.003874269,-0.017939642,-0.213981162,-0.027567511,-0.142927008,-0.084578183,0.089967403,0.539761313,0.164453557,-0.018768207,-0.182429117,-0.113256747,0.02662333,-0.078406649,-0.004091247,0.127894385,-0.06124222,-0.133633164,-0.081464315,0.019922832,0.164090307,-0.016295777,-0.083159549,-0.121632664,0.120444441,0.124910233,0.081632601
Education managers,-0.03679536,-0.002707381,-0.001185689,-0.091846347,0.017443155,-0.08189103,-0.149253096,-0.095542061,-0.025664349,-0.061507449,0.036052283,0.067857852,0.001572273,-0.053247395,-0.02929147,3.92E-05,0.043588678,0.086044629,0.108689139,-0.066694173,0.133964479,0.033226107,-0.057189831,0.008198124,-0.069265322,-0.198422502,0.009601101,-0.179204879,-0.146090707,0.027879664,0.568034262,0.130631105,0.007891316,-0.205216652,0.022831969,0.013201096,-0.059331763,0.066328601,0.147897123,-0.037314415,-0.104965452,-0.09668886,0.008416503,0.155503106,-0.02264579,-0.064179589,-0.078823703,0.163523922,0.054391965,0.153704373
Professional services managers not elsewhere classified,0.05435731,-0.01293534,0.023819179,0.001639737,0.005981857,-0.042946069,-0.14758897,0.014898109,-0.000718441,-0.05566948,0.083261353,0.052929571,-0.008286088,-0.026428967,0.053894745,0.017278574,-0.019471286,0.028138612,-0.000411142,-0.085304469,0.062242676,-0.005476539,0.032753524,0.071624985,-0.078149117,-0.239309878,-0.04307195,-0.082846277,-0.000573243,0.0014864,0.586705206,0.026079161,0.036129846,-0.20458581,0.032309172,0.027067478,-0.021135366,0.022499688,-0.019679634,-0.042374933,-0.002452605,-0.076285273,0.090461893,0.124977741,0.00260094,-0.055939488,-0.095092824,0.105963332,0.014969142,0.053491074
Services managers not elsewhere classified,0.12090548,-0.037497292,0.063625546,-0.007293403,0.020392296,-0.050980291,-0.138279489,-0.001781789,0.01268582,-0.071801634,0.056830545,0.051290496,0.003108811,-0.055776874,0.050185844,0.058574336,-0.031871604,-0.01071809,0.022625516,-0.085192771,0.07724706,-0.031028483,0.049152847,0.05408322,-0.070976929,-0.244099868,-0.037251364,-0.050483035,0.019178687,-0.009496972,0.596782249,0.014788687,0.049995756,-0.209259498,0.022355289,0.003034954,-0.018651507,0.00564333,-0.025285752,-0.016915155,-0.009374159,-0.068224148,0.099365286,0.123488954,0.007935991,-0.044789038,-0.105193058,0.1120625,0.022365933,0.050621742
"Film, stage and related directors and producers",0.066924004,0.007419878,-0.074812158,0.048035114,-0.020294347,0.080324581,-0.068344199,-0.068242157,0.004856734,0.116898728,0.024258233,0.063750075,-0.0580541,0.101965095,0.150331491,-0.028660405,0.086587251,0.0361888,-0.067949748,-0.126437048,0.188069342,0.02032316,0.054401895,0.021899779,-0.048197109,-0.18059517,-0.14453302,-0.073447484,-0.116750556,-0.03596766,0.533576905,-0.004212762,0.031116466,-0.132733203,0.00185914,-0.001384421,-0.004929355,0.0212106,-0.046331655,-0.078353946,-0.067322004,0.084907333,0.01884559,-0.087965508,-0.007022451,-0.004667231,-0.037936002,-0.013797198,-0.084085577,0.074493064
Other artistic and cultural associate professionals,-0.044440427,0.149939269,-0.136579192,0.032369417,0.078622437,-0.007378609,-0.062749083,-0.106540023,-0.032578799,0.029374876,0.087358759,0.034690765,-0.001241515,0.029614462,-0.000754501,-0.042432967,0.070009787,0.059953237,0.048952918,-0.04743476,0.085780039,0.096456001,-0.049848197,0.032234279,-0.052060399,-0.172018498,-0.143755712,-0.192365534,-0.119931657,0.016309077,0.509967272,0.051056296,0.030886553,-0.283562968,-0.033169578,0.057172866,-0.118518258,0.090704359,0.010666098,0.043393588,-0.024148805,-0.005582999,0.078580149,0.08879817,0.023069825,-0.035555775,-0.069203405,0.029792454,-0.080270867,0.04768282
Finance managers,0.063396045,-0.082397722,0.077581103,0.011637869,0.04514091,-0.118747219,-0.160213911,-0.069393246,-0.159061702,-0.093970786,-0.011481578,0.168048978,-0.068407757,0.055272272,0.057648512,0.038131515,0.085964891,0.027394835,0.093582962,-0.103076012,0.222637102,-0.058104413,-0.053728094,-0.05550121,-0.124493801,-0.191243044,0.046727422,-0.107277142,-0.180990637,0.08691709,0.505717874,0.086382311,0.049212188,-0.083350487,0.001579521,0.000621255,-0.099185107,0.049941497,0.181886608,-0.07156292,-0.108228615,-0.015426893,0.02811117,0.093119214,0.037674083,-0.070286082,-0.144970366,0.245815731,0.143911702,0.128069628
Human resource managers,0.042644808,-0.027088922,0.019937186,0.070058182,0.12593507,-0.048294309,-0.050593275,-0.085161781,0.165721382,0.006682898,0.098365122,0.091671722,0.048869406,0.017294952,0.004277982,0.003111537,0.126084953,0.0273913,0.067081456,-0.090108479,0.032377575,0.0263255,-0.016138175,-0.051333824,0.006455361,-0.160061438,-0.047152776,-0.125507761,-0.02100356,0.066815766,0.548709622,-0.005420244,0.008611851,-0.229528494,-0.063907991,0.05896144,-0.088342858,-0.028827356,0.110162758,-0.019415489,-0.067079138,-0.079123471,0.035107404,0.162630464,0.026727029,-0.024764156,-0.077003207,0.148257381,0.03042695,0.041168642
Sales and marketing managers,0.021856604,-0.107753387,0.076486381,0.065975522,0.005645606,-0.062727701,-0.231433167,-0.171918147,0.07269533,0.052296004,0.04964759,0.080616939,-0.108655243,-0.057949399,0.065803347,0.014628865,-0.039582883,0.061741174,0.002718683,-0.192071147,0.207496506,-0.070525051,-0.050101785,-0.017957176,-0.174279017,-0.173143661,-0.092159213,-0.076723053,0.017066593,0.020004472,0.526678736,0.127796599,0.08624069,-0.06313848,0.006328449,-0.067438193,-0.137537852,0.064013147,0.067505416,-0.097929394,-0.029043073,-0.035550203,-0.022024092,0.07483363,0.049983292,-0.089171844,-0.056885804,0.159402275,0.015877819,0.191732784
Advertising and public relations managers,0.003739329,0.011162012,-0.034044844,0.024992583,-0.012571507,-0.024845807,-0.139325719,-0.075647333,0.013672421,-0.03429158,-0.018309959,0.04309991,-0.050941046,-0.012507188,-0.002473481,0.003789533,-0.044472597,-0.006110652,0.067263814,-0.089021669,0.174667298,0.028004525,-0.031494052,-0.017347439,-0.085521718,-0.273441394,-0.014626445,-0.029686813,-0.004841586,0.041273736,0.547119787,0.129258666,0.048095014,-0.204158442,-0.133127892,-0.044772868,-0.11219331,0.021300514,-0.028117465,-0.047061611,-0.019597673,-0.04819495,-0.008973469,0.08806771,-0.0026599,-0.05316002,-0.131789565,0.132043482,0.009337808,0.12471332
Research and development managers,0.110066692,0.02017754,0.010504045,0.069430946,0.007070779,-0.04376017,-0.157699036,-0.143959921,0.081254341,-0.019156735,0.087922127,0.07663623,-0.038129555,-0.003085451,-0.062595645,0.053997623,0.101505556,0.086164396,0.008421587,-0.029223338,0.14493099,0.002106367,-0.039906734,-0.085091036,-0.021190847,-0.165791997,-0.010925108,-0.141975455,-0.151652822,0.039904543,0.583998553,0.017545028,0.035273058,-0.23142862,-0.022587552,-0.030881637,-0.092722168,0.085281907,0.131805829,-0.018319002,-0.099511847,-0.131285993,0.02217891,0.076266559,0.079884909,-0.05405635,-0.021237689,0.17154453,0.018480591,0.133167284
Field crop and vegetable growers,-0.065298171,-0.045284315,-0.044786423,0.059990859,0.068009761,-0.0337743,-0.192628933,-0.074867451,0.132367122,0.0120756,0.021039355,-0.047033686,0.144510773,-0.094429989,0.038311196,-0.010040332,0.09485192,0.062175668,-0.025469272,-0.146834164,-0.016681924,-0.215117072,0.127744338,-0.065029274,-0.084533257,-0.078336524,0.018896621,0.04004791,0.178068703,0.022442188,0.408965666,-0.011189126,-0.072175353,0.028366685,0.053650046,0.059039645,-0.203390875,0.19814473,0.136168211,0.027017154,-0.096084948,-0.016185277,-0.045081391,-0.00193136,0.175896206,0.042247534,-0.007319146,0.044066758,-0.025548925,-0.001701208
Tree and shrub crop growers,0.012832532,0.053277617,-0.032945438,0.053453526,0.017713474,0.030143549,-0.148903975,-0.158990435,0.11786004,-0.020694434,-0.025424923,-0.008840275,0.224084637,-0.152955825,0.069110036,0.043892336,0.05686868,0.088308655,0.02762969,-0.137888792,-0.164115393,-0.239873942,0.097592797,-0.042819492,-0.004608828,-0.045088692,0.049912147,0.098827843,0.107896656,0.036552459,0.342811349,-0.09500044,-0.053139761,0.067239799,0.02118449,0.002271581,-0.212554992,0.034075302,0.083997389,-0.10149597,-0.141409664,-0.067392379,-0.018601797,0.010770722,0.237546093,0.026205526,0.026652221,-0.107693063,-0.007705459,-0.063332439
"Gardeners, horticultural and nursery growers",-0.077787635,0.051600774,-0.196324264,-0.052867764,-0.040696382,-0.091501101,-0.21361225,-0.090044468,0.063044552,0.013203391,-0.025452799,0.018504891,0.296769961,-0.158777811,0.048100914,0.000206596,0.07783639,0.187477821,0.08418625,-0.138670245,0.060628621,-0.141613285,-0.010592683,0.044083094,-0.038537696,0.011289208,-0.047296098,-0.050856521,0.048595951,0.003567867,0.203952208,-0.010571607,-0.04364401,-0.023351824,0.065102938,0.075740316,-0.155729089,0.112196798,0.127061209,-0.061720105,-0.066000815,-0.168350964,0.012648988,0.107068988,0.311083181,0.066855819,-0.036998651,-0.00826045,0.007739896,-0.000885964
Mixed crop growers,-0.112853941,-0.103264346,-0.089041117,0.063463611,0.022191465,-0.011593738,-0.182285282,-0.058968865,0.093167523,0.057188177,0.049978101,-0.068825214,0.214175677,-0.146548464,0.08034609,-0.012319403,0.032731926,0.025934297,0.015294299,-0.204910872,-0.032479948,-0.184002962,0.16520441,-0.044589232,-0.083695202,-0.064317714,-0.04608156,0.043878953,0.097982447,0.076964189,0.470911915,-0.035850777,-0.011544173,0.018167413,0.067051941,-0.02398579,-0.237075663,0.078070741,0.075620836,-0.105924556,-0.147024296,-0.027602251,-0.00078081,-0.05761661,0.224332135,0.056693201,-0.027458679,0.071702366,-0.01688899,-0.026565382
Livestock and dairy producers,-0.038240535,-0.1577063,-0.081179703,0.036990287,0.000746692,0.121261795,-0.228779889,-0.102076595,0.233989531,0.026835059,0.111697671,-0.005016903,0.190209023,-0.100528625,0.135811029,0.111014988,0.148586275,0.117264035,-0.003983756,-0.114964412,0.197838499,-0.140283042,0.078478177,0.040933853,-0.074579589,-0.10561944,-0.015701728,-0.009991119,0.082407334,0.015284871,0.372091601,0.005768172,0.083991573,0.078809816,-0.035348746,0.000497249,-0.113406048,0.08101868,0.10924542,0.019557346,-0.106820268,-0.008915885,0.026818564,-0.029242701,0.249338574,0.023558847,-0.199507577,0.040846119,0.007886948,0.009647316
Poultry producers,-0.027298829,-0.252597545,-0.066985002,0.064417824,-0.019326083,0.053160466,-0.165247317,-0.054992176,0.229419738,0.058011349,0.130751247,-0.018422467,0.178998547,0.018673082,0.197441175,0.099344789,0.115398123,0.019654789,-0.003354399,-0.11014444,0.197475984,-0.121896286,0.104230031,0.054193528,-0.06956667,-0.121687899,0.016063751,-0.020860061,0.064393528,-0.023808466,0.399972837,0.014247842,0.086925268,0.063270707,-0.078794447,-0.023500985,-0.071928388,0.050710555,0.038360585,0.011124918,-0.096554191,0.070985149,0.115405393,-0.083991941,0.236863151,0.093496993,-0.157898725,0.060042349,-0.096337137,0.037395575
Mixed crop and animal producers,-0.060899054,-0.103630707,-0.09351938,0.046998094,0.065749531,0.066992433,-0.158962162,-0.118489832,0.151639747,0.089874473,0.096503957,-0.004674875,0.148568809,-0.026338918,0.11458882,0.018285602,0.095394313,0.015062254,-0.054239273,-0.16869503,0.055170766,-0.082780572,0.151471558,-0.027389023,-0.03253062,-0.109982008,-0.095230008,0.017033068,0.063217338,0.033460185,0.51795996,-0.042136959,0.04757432,-0.063004524,0.007673255,0.029397561,-0.120796152,0.055208148,0.030272704,-0.081811253,-0.093485034,0.020884459,0.016197631,-0.054431987,0.216199846,0.036315044,-0.051313407,0.03362583,-0.010149617,0.003617008
